,,東京都災害拠点病院一覧,,,,
,,,,,令和4年1月1日現在,
二次保健医療圏,,施設名,所在地,電話番号,病床数,"三次
救急"
,,南町田病院,町田市鶴間4-4-1,042－799－6161,222,
,,日野市立病院,日野市多摩平4-3-1,042－581－2677,300,
北多摩西部,★,国立病院機構災害医療センター,立川市緑町3256,042－526－5511,455,○
,,立川病院,立川市錦町4‐2‐22,042－523－3131,450,
,,東大和病院,東大和市南街1-13-12,042－562－1411,284,
北多摩南部,,武蔵野赤十字病院,武蔵野市境南町1-26-1,0422－32－3111,611,○
,☆,東京都立多摩・小児総合医療センター,府中市武蔵台2-8-29,多摩,889,○
,,,,小児,561,
,,杏林大学医学部付属病院,三鷹市新川6-20-2,0422－47－5511,"1,153",○
,,東京慈恵会医科大学附属第三病院,狛江市和泉本町4-11-1,03－3480－1151,581,
北多摩北部,☆,公立昭和病院,小平市花小金井8-1-1,042－461－0052,485,○
,,佐々総合病院,西東京市田無町4-24-15,042－461－1535,183,
,,東京都保健医療公社多摩北部医療センター,東村山市青葉町1-7-1,042－396－3811,337,
,,国立病院機構東京病院,清瀬市竹丘3-1-1,042－491－2111,522,
合計,,84施設,,,"44,745",26
★印は広域基幹災害拠点病院、☆印は地域災害拠点中核病院を表す。   三次救急とは、救命救急センター等の三次救急医療施設をいう。,,,,,,
